OrderDate,City,Discount,OrderID,PostalCode,ProductName,Profit,Quantity,Sales,ShipDate,State,DaystoShipActual,SalesForecast,DaystoShipScheduled,SalesperCustomer,ProfitRatio,latitude,longitude,Category_encoded,Region_encoded,Segment_encoded,ShipMode_encoded,ShipStatus_encoded,Sub_Category_encoded
2011-01-04,Houston,0.2,CA-2011-103800,77095,"Message Book, Wirebound, Four 5 1/2 X 4 Forms/Pg., 200 Dupl. Sets/Book",6,2,16,2011-01-08,Texas,4,22,6,16.45,33.8,29.8941,-95.6481,1,3,1,1,1,2
2011-01-05,Naperville,0.2,CA-2011-112326,60540,Avery 508,4,3,12,2011-01-09,Illinois,4,15,6,11.78,36.3,41.7662,-88.141,1,3,3,1,1,10
2011-01-05,Naperville,0.8,CA-2011-112326,60540,GBC Standard Plastic Binding Systems Combs,-5,2,4,2011-01-09,Illinois,4,5,6,3.54,-155.0,41.7662,-88.141,1,3,3,1,1,1
2011-01-05,Naperville,0.2,CA-2011-112326,60540,SAFCO Boltless Steel Shelving,-65,3,273,2011-01-09,Illinois,4,357,6,272.74,-23.8,41.7662,-88.141,1,3,3,1,1,5
2011-01-06,Philadelphia,0.2,CA-2011-141817,19143,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",5,3,20,2011-01-13,Pennsylvania,7,26,6,19.54,25.0,39.9448,-75.2288,1,2,1,1,2,6
2011-01-07,Henderson,0.0,CA-2011-167199,42420,Global Deluxe High-Back Managers Chair,746,9,2574,2011-01-11,Kentucky,4,3373,6,2573.82,29.0,37.8274,-87.5632,2,4,3,1,1,8
2011-01-07,Athens,0.0,CA-2011-106054,30605,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",5,3,13,2011-01-08,Georgia,1,17,1,12.78,41.0,33.9321,-83.3525,1,4,2,3,3,6
2011-01-07,Henderson,0.0,CA-2011-167199,42420,"Alliance Super-Size Bands, Assorted Sizes",0,4,31,2011-01-11,Kentucky,4,41,6,31.12,1.0,37.8274,-87.5632,1,4,3,1,1,14
2011-01-07,Henderson,0.0,CA-2011-167199,42420,Ibico Hi-Tech Manual Binding System,274,2,610,2011-01-11,Kentucky,4,799,6,609.98,45.0,37.8274,-87.5632,1,4,3,1,1,1
2011-01-07,Henderson,0.0,CA-2011-167199,42420,Rogers Handheld Barrel Pencil Sharpener,1,2,5,2011-01-11,Kentucky,4,7,6,5.48,27.0,37.8274,-87.5632,1,4,3,1,1,6
2011-01-07,Henderson,0.0,CA-2011-167199,42420,Southworth 25% Cotton Granite Paper & Envelopes,3,1,7,2011-01-11,Kentucky,4,9,6,6.54,46.0,37.8274,-87.5632,1,4,3,1,1,2
2011-01-07,Los Angeles,0.0,CA-2011-130813,90049,Xerox 225,9,3,19,2011-01-09,California,2,25,3,19.44,48.0,34.066,-118.474,1,1,1,2,1,2
2011-01-07,Henderson,0.0,CA-2011-167199,42420,GE 30524EE4,114,2,392,2011-01-11,Kentucky,4,514,6,391.98,29.0,37.8274,-87.5632,3,4,3,1,1,4
2011-01-07,Henderson,0.0,CA-2011-167199,42420,Wireless Extenders zBoost YX545 SOHO Signal Booster,204,4,756,2011-01-11,Kentucky,4,991,6,755.96,27.0,37.8274,-87.5632,3,4,3,1,1,4
2011-01-08,Huntsville,0.6,CA-2011-105417,77340,Howard Miller 14-1/2 Diameter Chrome Round Wall Clock,-54,3,77,2011-01-13,Texas,5,101,6,76.73,-70.0,30.6448,-95.5798,2,3,1,1,1,3
2011-01-08,Huntsville,0.8,CA-2011-105417,77340,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1",-18,7,10,2011-01-13,Texas,5,14,6,10.43,-175.0,30.6448,-95.5798,1,3,1,1,1,1
2011-01-10,Laredo,0.2,CA-2011-135405,78041,Newell 312,1,2,9,2011-01-14,Texas,4,12,6,9.34,12.5,27.5569,-99.4907,1,3,1,1,1,6
2011-01-10,Laredo,0.2,CA-2011-135405,78041,Memorex Micro Travel Drive 8 GB,10,3,31,2011-01-14,Texas,4,41,6,31.2,31.3,27.5569,-99.4907,3,3,1,1,1,7
2011-01-11,Springfield,0.0,CA-2011-149020,22153,Howard Miller 11-1/2 Diameter Ridgewood Wall Clock,21,1,52,2011-01-16,Virginia,5,68,6,51.94,41.0,38.7449,-77.237,2,4,2,1,1,3
2011-01-11,Springfield,0.0,CA-2011-149020,22153,Avery 482,1,1,3,2011-01-16,Virginia,5,4,6,2.89,47.0,38.7449,-77.237,1,4,2,1,1,10
2011-01-12,Dover,0.0,CA-2011-130092,19901,"DAX Value U-Channel Document Frames, Easel Back",3,2,10,2011-01-15,Delaware,3,13,1,9.94,31.0,39.1564,-75.4955,2,2,1,3,2,3
2011-01-14,Mount Pleasant,0.0,CA-2011-109232,29464,Global Highback Leather Tilter in Burgundy,87,6,546,2011-01-17,South Carolina,3,715,3,545.94,16.0,32.8473,-79.8206,2,4,1,2,3,8
2011-01-14,San Francisco,0.15,CA-2011-157147,94109,"OSullivan Elevations Bookcase, Cherry Finish",4,3,334,2011-01-19,California,5,438,6,334.0,1.2,37.7917,-122.4186,2,1,1,1,1,13
2011-01-14,Bossier City,0.0,CA-2011-162775,71111,Brown Kraft Recycled Envelopes,25,3,51,2011-01-16,Louisiana,2,67,3,50.94,50.0,32.5449,-93.7038,1,4,2,2,1,12
2011-01-14,Bossier City,0.0,CA-2011-162775,71111,Fellowes Stor/Drawer Steel Plus Storage Drawers,34,6,573,2011-01-16,Louisiana,2,750,3,572.58,6.0,32.5449,-93.7038,1,4,2,2,1,5
2011-01-14,Bossier City,0.0,CA-2011-162775,71111,Staples,5,2,11,2011-01-16,Louisiana,2,15,3,11.36,47.0,32.5449,-93.7038,1,4,2,2,1,12
